file_path,file_name,file_suffix,scene_index,scene_name,size_z,z_step_um,z_start_um,z_end_um,z_range_method,error
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSI_9_Multichannel Z-Stack_20251017_29.vsi,2_2_PSI_9_Multichannel Z-Stack_20251017_29.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSIHARMIN_10_Multichannel Z-Stack_20251017_40.vsi,2_2_PSIHARMIN_10_Multichannel Z-Stack_20251017_40.vsi,.vsi,0,"C488, C561, C640",45,,331.40280778856123,338.0028077885613,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSIHARMIN_10_Multichannel Z-Stack_20251017_40.vsi,2_2_PSIHARMIN_10_Multichannel Z-Stack_20251017_40.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSIHARMIN_1_Multichannel Z-Stack_20251017_31.vsi,2_2_PSIHARMIN_1_Multichannel Z-Stack_20251017_31.vsi,.vsi,0,"C488, C561, C640",28,,305.3560916804004,309.40609168040044,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSIHARMIN_1_Multichannel Z-Stack_20251017_31.vsi,2_2_PSIHARMIN_1_Multichannel Z-Stack_20251017_31.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSIHARMIN_2_Multichannel Z-Stack_20251017_32.vsi,2_2_PSIHARMIN_2_Multichannel Z-Stack_20251017_32.vsi,.vsi,0,"C488, C561, C640",47,,306.50413843618395,313.40413843618387,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSIHARMIN_2_Multichannel Z-Stack_20251017_32.vsi,2_2_PSIHARMIN_2_Multichannel Z-Stack_20251017_32.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSIHARMIN_3_Multichannel Z-Stack_20251017_33.vsi,2_2_PSIHARMIN_3_Multichannel Z-Stack_20251017_33.vsi,.vsi,0,"C488, C561, C640",39,,310.5119269974975,316.2119269974974,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSIHARMIN_3_Multichannel Z-Stack_20251017_33.vsi,2_2_PSIHARMIN_3_Multichannel Z-Stack_20251017_33.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSIHARMIN_4_Multichannel Z-Stack_20251017_34.vsi,2_2_PSIHARMIN_4_Multichannel Z-Stack_20251017_34.vsi,.vsi,0,"C488, C561, C640",43,,313.6047793444424,319.90477934444243,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSIHARMIN_4_Multichannel Z-Stack_20251017_34.vsi,2_2_PSIHARMIN_4_Multichannel Z-Stack_20251017_34.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_2_PSIHARMIN_5_Multichannel Z-Stack_20251017_35.vsi,2_2_PSIHARMIN_5_Multichannel Z-Stack_20251017_35.vsi,.vsi,0,"C488, C561, C640",57,,316.20477324055423,324.6047732405542,ome_plane_position_z,
