epoch,train_loss,val_loss,lr,epoch_time_s,train_time_s,val_time_s,best_val_loss,best_epoch,grad_norm_mean,grad_norm_max
122,0.00416012,0.00416525,5.42e-05,63.0,56.7,6.4,0.00416525,122,0.0169,0.0368
123,0.00415690,0.00415867,5.30e-05,56.4,49.3,7.1,0.00415867,123,inf,inf
124,0.00416344,0.00416820,5.18e-05,62.0,53.7,8.3,0.00415867,123,0.0189,0.0913
125,0.00413499,0.00417427,5.06e-05,66.3,57.9,8.4,0.00415867,123,0.0169,0.0423
126,0.00412592,0.00413592,4.95e-05,58.5,51.6,7.0,0.00413592,126,0.0169,0.0423
127,0.00412447,0.00412036,4.83e-05,60.8,53.8,7.0,0.00412036,127,inf,inf
128,0.00411276,0.00413225,4.72e-05,60.3,52.2,8.1,0.00412036,127,0.0170,0.0444
129,0.00411967,0.00412902,4.60e-05,62.2,54.2,8.0,0.00412036,127,inf,inf
130,0.00409183,0.00411397,4.49e-05,66.1,57.7,8.4,0.00411397,130,0.0162,0.0347
131,0.00408352,0.00409427,4.37e-05,61.5,55.4,6.1,0.00409427,131,0.0167,0.0403
132,0.00407314,0.00411688,4.26e-05,63.3,55.0,8.3,0.00409427,131,0.0165,0.0394
133,0.00406870,0.00407870,4.15e-05,63.2,54.4,8.7,0.00407870,133,0.0167,0.0672
134,0.00407166,0.00408906,4.04e-05,60.0,53.4,6.6,0.00407870,133,inf,inf
135,0.00407358,0.00462911,3.93e-05,67.3,58.7,8.6,0.00407870,133,0.0168,0.1785
136,0.00406723,0.00405288,3.82e-05,64.8,57.4,7.4,0.00405288,136,0.0167,0.0672
137,0.00405338,0.00510463,3.71e-05,66.1,57.3,8.8,0.00405288,136,0.0164,0.2502
138,0.00404931,0.00408006,3.61e-05,61.7,55.3,6.4,0.00405288,136,inf,inf
139,0.00402856,0.00409809,3.50e-05,57.0,50.2,6.7,0.00405288,136,0.0158,0.0695
140,0.00405143,0.00405146,3.40e-05,62.1,54.0,8.2,0.00405146,140,0.0176,0.3144
141,0.00401260,0.00404685,3.29e-05,65.7,58.8,6.9,0.00404685,141,0.0153,0.0474
142,0.00400915,0.00403145,3.19e-05,54.7,48.7,6.0,0.00403145,142,0.0153,0.0393
143,0.00400510,0.00404101,3.09e-05,65.3,56.7,8.6,0.00403145,142,0.0158,0.0715
144,0.00400109,0.00401442,2.99e-05,62.5,53.9,8.5,0.00401442,144,0.0160,0.0787
145,0.00398636,0.00401656,2.89e-05,60.9,54.6,6.3,0.00401442,144,0.0146,0.0359
146,0.00398226,0.00401025,2.80e-05,61.5,53.9,7.6,0.00401025,146,0.0149,0.0424
147,0.00401302,0.00401569,2.70e-05,57.9,51.7,6.2,0.00401025,146,0.0170,0.1410
148,0.00398989,0.00399880,2.61e-05,62.5,56.2,6.2,0.00399880,148,inf,inf
149,0.00397336,0.00399295,2.51e-05,61.2,54.5,6.8,0.00399295,149,0.0152,0.0591
150,0.00397019,0.00400982,2.42e-05,65.7,57.4,8.4,0.00399295,149,0.0148,0.1627
151,0.00395798,0.00397785,2.33e-05,55.8,49.6,6.2,0.00397785,151,0.0140,0.0377
152,0.00396234,0.00399362,2.24e-05,59.4,52.7,6.6,0.00397785,151,0.0139,0.0734
153,0.00395504,0.00397335,2.15e-05,62.8,55.4,7.4,0.00397335,153,0.0148,0.0350
154,0.00395254,0.00405092,2.07e-05,59.4,53.2,6.1,0.00397335,153,inf,inf
155,0.00395060,0.00397315,1.98e-05,57.3,49.7,7.7,0.00397315,155,0.0145,0.0398
156,0.00393836,0.00396487,1.90e-05,57.8,51.2,6.7,0.00396487,156,0.0139,0.0465
157,0.00393906,0.00405804,1.82e-05,64.3,55.5,8.8,0.00396487,156,0.0146,0.5259
158,0.00394073,0.00395960,1.74e-05,63.7,56.5,7.2,0.00395960,158,0.0140,0.0326
159,0.00393246,0.00395580,1.66e-05,58.0,50.5,7.5,0.00395580,159,0.0138,0.0580
160,0.00392522,0.00395253,1.58e-05,58.7,52.2,6.6,0.00395253,160,0.0136,0.0317
161,0.00393038,0.00395536,1.51e-05,62.9,55.2,7.8,0.00395253,160,0.0139,0.0974
162,0.00391528,0.00396448,1.43e-05,63.1,55.4,7.7,0.00395253,160,0.0128,0.0387
163,0.00392492,0.00393984,1.36e-05,57.1,50.5,6.6,0.00393984,163,0.0135,0.1256
164,0.00390999,0.00394494,1.29e-05,60.4,53.3,7.2,0.00393984,163,0.0129,0.0334
165,0.00390712,0.00393598,1.22e-05,59.4,52.7,6.8,0.00393598,165,0.0131,0.0431
166,0.00391145,0.00393768,1.15e-05,59.6,50.4,9.2,0.00393598,165,0.0131,0.0765
167,0.00390108,0.00393271,1.09e-05,66.7,58.7,8.1,0.00393271,167,inf,inf
168,0.00389912,0.00392519,1.03e-05,62.2,55.8,6.4,0.00392519,168,0.0128,0.0369
169,0.00389382,0.00393905,9.64e-06,57.0,49.8,7.2,0.00392519,168,0.0122,0.0268
170,0.00389201,0.00392095,9.04e-06,55.4,49.1,6.3,0.00392095,170,0.0121,0.0366
171,0.00389266,0.00397161,8.46e-06,57.1,50.8,6.2,0.00392095,170,inf,inf
172,0.00389006,0.00392434,7.90e-06,59.9,53.7,6.2,0.00392095,170,inf,inf
173,0.00388921,0.00392046,7.35e-06,60.5,53.4,7.1,0.00392046,173,0.0119,0.0830
174,0.00388445,0.00392081,6.82e-06,61.4,54.0,7.5,0.00392046,173,0.0125,0.2650
175,0.00388023,0.00391234,6.32e-06,60.0,52.9,7.2,0.00391234,175,0.0114,0.0241
176,0.00387831,0.00391393,5.83e-06,63.0,56.7,6.3,0.00391234,175,0.0114,0.0328
177,0.00387635,0.00391005,5.36e-06,65.1,58.2,6.9,0.00391005,177,0.0114,0.0243
178,0.00387501,0.00390692,4.91e-06,58.8,51.9,6.9,0.00390692,178,inf,inf
179,0.00387357,0.00391193,4.48e-06,65.2,57.0,8.2,0.00390692,178,0.0113,0.0302
